filename,activity
1_20260920213746.csv,0
2_20260920213804.csv,0
3_20260920213819.csv,0
4_20260920213839.csv,0
5_20260920213853.csv,0
6_20260920213911.csv,1
7_20260920213930.csv,1
8_20260920213949.csv,0
9_20260920214008.csv,2
10_20260920214026.csv,2
11_20260920214044.csv,1
12_20260920214103.csv,0
13_20260920214121.csv,0
14_20260920214137.csv,1
15_20260920214155.csv,1
16_20260920214214.csv,1
17_20260920214232.csv,1
18_20260920214250.csv,2
19_20260920214309.csv,2
20_20260920214327.csv,2
21_20260920214343.csv,2
22_20260920214401.csv,2
23_20260920214418.csv,0
24_20260920214436.csv,2
25_20260920214454.csv,2
26_20260920214510.csv,1
27_20260920214528.csv,1
28_20260920214544.csv,0
29_20260920214602.csv,2
30_20260920214621.csv,2
31_20260920214639.csv,0
32_20260920214657.csv,0
33_20260920214716.csv,0
34_20260920214734.csv,0
35_20260920214750.csv,0
36_20260920214807.csv,1
37_20260920214825.csv,1
38_20260920214843.csv,0
39_20260920214859.csv,0
40_20260920214917.csv,2
41_20260920214937.csv,0
42_20260920214957.csv,0
43_20260920215014.csv,0
44_20260920215030.csv,0
45_20260920215048.csv,1
46_20260920215104.csv,1
47_20260920215122.csv,1
48_20260920215140.csv,1
49_20260920215158.csv,1
50_20260920215215.csv,2
51_20260920215231.csv,1
52_20260920215248.csv,1
53_20260920215304.csv,0
54_20260920215321.csv,0
55_20260920215339.csv,1
56_20260920215357.csv,1
57_20260920215415.csv,1
58_20260920215431.csv,2
59_20260920215449.csv,2
60_20260920215504.csv,2
61_20260920215522.csv,2
62_20260920215539.csv,2
63_20260920215555.csv,2
64_20260920215612.csv,0
65_20260920215628.csv,0
66_20260920215645.csv,2
67_20260920215703.csv,1
68_20260920215722.csv,1
69_20260920215739.csv,2
70_20260920215758.csv,0
71_20260920215816.csv,2
72_20260920215833.csv,0
73_20260920215848.csv,0
74_20260920215904.csv,0
75_20260920215922.csv,0
76_20260920215940.csv,0
77_20260920215959.csv,0
78_20260920220015.csv,1
79_20260920220033.csv,0
80_20260920220051.csv,0
81_20260920220110.csv,2
82_20260920220128.csv,2
83_20260920220144.csv,0
84_20260920220202.csv,0
85_20260920220218.csv,0
86_20260920220235.csv,1
87_20260920220253.csv,1
88_20260920220311.csv,1
89_20260920220328.csv,1
90_20260920220344.csv,1
91_20260920220401.csv,1
92_20260920220419.csv,2
93_20260920220435.csv,2
94_20260920220452.csv,2
95_20260920220509.csv,0
96_20260920220526.csv,0
97_20260920220544.csv,2
98_20260920220602.csv,2
99_20260920220619.csv,1
100_20260920220635.csv,2
101_20260920220653.csv,2
102_20260920220709.csv,2
103_20260920220726.csv,2
104_20260920220742.csv,2
105_20260920220800.csv,2
106_20260920220818.csv,0
107_20260920220833.csv,0
108_20260920220851.csv,0
109_20260920220910.csv,1
110_20260920220928.csv,1
111_20260920220946.csv,0
